358;VA-VA;6;200
359;V;3;0
360;VA-A;2b;400
361;VA-VA;6;400
362;V;3;0
363;V-VA;5b;400
364;V-A;1b;100
365;V-V;4;150
366;VA-V;5a;100
367;VA-VA;6;100
368;V;3;0
369;VA-A;2b;100
370;V-V;4;400
371;A-V;1a;400
372;A-VA;2a;400
373;VA-VA;6;200
374;V-A;1b;200
375;V-VA;5b;150
376;V;3;0
377;V-V;4;200
378;VA-A;2b;200
379;VA-VA;6;150
380;A-V;1a;150
381;VA-V;5a;150
382;V-V;4;100
383;V;3;0
384;A-VA;2a;150
385;VA-VA;6;400
386;V-V;4;150
387;V-VA;5b;200
388;V;3;0
389;V-A;1b;400
390;VA-V;5a;400
391;VA-VA;6;200
392;V-V;4;200
393;A-VA;2a;200
394;A-V;1a;200
395;V;3;0
396;VA-A;2b;400
397;V-V;4;100
398;V;3;0
399;V-VA;5b;400
400;V-A;1b;100
401;VA-VA;6;150
402;VA-A;2b;100
403;V-V;4;400
404;V;3;0
405;A-VA;2a;400
406;VA-VA;6;100
407;A-V;1a;400
408;VA-V;5a;150
409;V-V;4;150
410;V-A;1b;150
411;V-VA;5b;150
412;V;3;0
413;VA-VA;6;400
414;A-VA;2a;150
415;V-V;4;400
416;A-V;1a;150
417;VA-A;2b;150
418;VA-VA;6;200
419;V;3;0
420;VA-V;5a;100
421;V-V;4;100
422;VA-VA;6;100
423;V-VA;5b;100
424;V;3;0
425;V-A;1b;200
426;A-VA;2a;100
427;V-V;4;200
428;VA-VA;6;150
429;VA-V;5a;200
430;A-V;1a;100
431;V;3;0
432;VA-A;2b;200
433;V;3;0
434;V-A;1b;400
435;VA-A;2b;400
436;VA-VA;6;400
437;V-V;4;400
438;VA-V;5a;400
439;V;3;0
440;A-V;1a;200
441;V-VA;5b;200
442;V-V;4;100
443;VA-VA;6;150
444;A-VA;2a;200
445;V;3;0
446;VA-VA;6;100
447;VA-A;2b;100
448;V-V;4;150
449;V-A;1b;100
450;VA-V;5a;150
451;V;3;0
452;VA-VA;6;200
453;A-VA;2a;400
454;A-V;1a;400
455;V-V;4;200
456;V-VA;5b;400
457;V;3;0
458;V-V;4;400
459;VA-A;2b;200
460;V-A;1b;200
461;VA-VA;6;400
462;V-VA;5b;100
463;V;3;0
464;V-V;4;100
465;A-VA;2a;100
466;VA-VA;6;150
467;A-V;1a;100
468;VA-V;5a;200
469;V-A;1b;150
470;V;3;0
471;VA-A;2b;150
472;V-V;4;200
473;VA-VA;6;200
474;V-VA;5b;150
475;A-V;1a;150
476;V;3;0
477;VA-V;5a;100
478;VA-VA;6;100
479;V-V;4;150
480;A-VA;2a;150
